Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
64	134.13792	66.95223	276.0	25.0	134.13792	45.41093	15.237741	65.29866	1.1143081	260000	-0.047480777	404.19418	-0.0006420016	-126.49832	0.60119337	6.359133e-05	1349.8244321346283
65	113.26471	55.68573	238.0	23.0	113.26471	52.09811	16.823	72.693504	7.5961704	264000	-0.066317506	364.09918	-0.0009303689	-78.19461	0.60244346	0.00017057538	1362.7740852832794
66	142.71428	74.24711	289.0	27.0	142.71428	47.719845	15.778421	68.86161	4.0593686	268000	-0.0660059	375.71362	-0.00092960894	-55.94037	0.60774684	0.00016718045	1376.5292851924896
67	136.46428	78.61501	286.0	24.0	136.46428	48.48823	18.76582	73.31149	1.3668349	272000	-0.054308783	440.32565	-0.00070512295	-101.122406	0.5968996	-3.3388726e-05	1387.7168073654175
68	146.57692	62.437767	273.0	32.0	146.57692	54.75628	15.282197	74.57417	5.04614	276000	-0.045366198	352.7496	-0.00055459514	-66.23782	0.59712225	3.196363e-05	1399.0076479911804
69	127.51613	46.59148	236.0	20.0	127.51613	51.830967	18.498444	71.28261	-1.0731066	280000	-0.061360627	303.5496	-0.0007696226	-94.85188	0.6022164	9.1083275e-05	1409.9674980640411
70	160.75	87.1346	357.0	28.0	160.75	48.458664	16.165142	65.88008	5.7295403	284000	-0.047072258	413.26633	-0.00075153634	-109.29596	0.59954983	8.519189e-05	1420.849825143814
71	149.6923	85.074524	414.0	22.0	149.6923	56.767056	18.11136	75.86963	5.8123236	288000	-0.0464885	374.7363	-0.00075094774	-90.716095	0.60150105	7.182057e-05	1430.6160440444946
72	178.09091	65.61382	364.0	53.0	178.09091	53.105553	18.967018	74.37211	-0.60473907	292000	-0.046856508	319.9134	-0.0005213022	-112.14105	0.5954391	1.4171175e-05	1440.4552562236786
73	172.04347	90.0012	457.0	26.0	172.04347	52.16782	19.833525	75.27864	6.589981	296000	-0.037069853	440.8191	-0.0005063042	-136.77502	0.586023	-9.589666e-05	1458.5515642166138
74	186.0	103.82357	500.0	14.0	186.0	55.892963	19.385351	75.682755	4.380339	300000	-0.049925342	319.52185	-0.00054995343	-72.54384	0.59376085	3.933382e-05	1522.741405248642
75	154.08333	50.571663	285.0	66.0	154.08333	53.8502	21.31876	78.83204	5.5105095	304000	-0.05164586	280.31506	-0.0006388463	-56.561325	0.5930792	3.069019e-05	1550.144543170929
76	155.84	80.70424	305.0	30.0	155.84	59.36845	18.93934	76.92022	8.347108	308000	-0.041590605	368.11575	-0.0008039959	-87.70657	0.59067625	3.7248894e-05	1570.0061621665955
77	174.59091	74.8542	317.0	45.0	174.59091	52.9198	18.392807	75.77457	8.846965	312000	-0.053932846	329.6782	-0.0006501004	-80.80098	0.58854043	-1.4523901e-05	1582.8496181964874
78	154.91667	50.986042	243.0	48.0	154.91667	60.081043	17.715633	78.032875	6.0306873	316000	-0.056097377	360.23236	-0.001014825	-98.02438	0.59260494	0.00017862045	1596.930307149887
79	123.3125	59.129856	276.0	21.0	123.3125	50.327217	18.515684	71.456184	1.0247978	320000	-0.06602992	311.8475	-0.00061189383	-65.34172	0.5963615	0.00015564906	1612.3991911411285
80	153.65384	55.68106	234.0	53.0	153.65384	49.18747	17.48849	70.661766	4.3538876	324000	-0.058193874	302.01114	-0.0007463135	-54.523926	0.58876604	0.00011311462	1625.207319021225
81	187.85	88.08535	397.0	23.0	187.85	51.203213	18.088366	74.2498	4.4557104	328000	-0.05072237	414.78168	-0.0007488504	-169.82352	0.58296824	8.493157e-05	1640.167690038681
82	180.81818	76.043434	364.0	43.0	180.81818	59.853313	19.464268	80.03503	5.5758944	332000	-0.044154327	310.91525	-0.00047163293	-98.7341	0.5858016	9.757107e-05	1653.6376662254333
83	191.85	95.099045	481.0	36.0	191.85	54.445415	19.07454	79.84205	6.1317883	336000	-0.029904006	389.31525	-0.00056797825	-112.60132	0.59310937	8.812152e-05	1668.4073150157928
84	188.0	113.10215	423.0	26.0	188.0	63.480484	17.483702	81.90582	9.356533	340000	-0.043217476	443.4907	-0.00033939257	-173.97769	0.58855265	5.851417e-05	1680.031239271164
85	179.90909	85.62811	425.0	40.0	179.90909	52.520237	21.718702	83.52471	5.973218	344000	-0.040327452	398.2519	-0.0005043149	-123.7157	0.5813113	1.547347e-05	1694.989268064499
86	197.45	82.35865	399.0	60.0	197.45	58.599014	20.196817	83.10306	-0.24702364	348000	-0.03778298	263.40182	-0.00037241727	-46.04805	0.5851783	1.22377105e-05	1711.0647711753845
87	192.8	54.171577	265.0	86.0	192.8	60.254864	19.591877	83.697754	5.397459	352000	-0.033953402	294.6043	-0.00043904036	-80.57999	0.58387125	3.198081e-05	1739.8311700820923
88	193.55	84.5745	390.0	66.0	193.55	57.23826	21.295736	83.78862	-2.1459997	356000	-0.048219543	307.1687	-0.0005533062	-75.73183	0.5772668	-3.1545824e-05	1772.9297261238098
89	177.40909	74.58288	322.0	49.0	177.40909	61.471447	18.144247	83.521034	5.0384088	360000	-0.04666093	293.66156	-0.0005156249	-99.169525	0.5809004	3.1844153e-05	1797.4621341228485
90	210.33333	97.70818	500.0	95.0	210.33333	55.21315	18.914036	78.43372	4.066516	364000	-0.037238985	490.76868	-0.00051205605	-203.65869	0.57869166	-3.3641565e-05	1820.538105249405
91	201.05263	70.072495	341.0	77.0	201.05263	58.6684	20.404713	85.15971	2.350294	368000	-0.03137612	400.48807	-0.00050435215	-136.1842	0.577625	-2.3244509e-06	1849.7315802574158
92	203.1579	78.94053	396.0	96.0	203.1579	59.51346	19.711412	85.50407	7.4349194	372000	-0.042737283	247.31012	-0.0008126907	-66.31856	0.5811217	5.0061375e-05	1887.277105331421
93	203.26315	101.807785	426.0	34.0	203.26315	61.966568	19.997492	89.53553	4.970982	376000	-0.036346734	278.5236	-0.00033360347	-86.56703	0.5798125	-2.5398635e-05	1907.6023643016815
94	164.375	86.89736	401.0	35.0	164.375	59.535812	21.795443	84.734055	7.64287	380000	-0.05113167	438.43362	-0.00046013668	-101.9429	0.58003455	1.1584472e-05	1937.2465662956238
95	263.2143	135.07045	500.0	73.0	263.2143	60.19041	17.664568	79.23659	8.257326	384000	-0.045143496	415.70322	-0.0004370995	-183.87448	0.5766968	-1.12511e-05	1963.0528531074524
96	188.0	55.972782	298.0	53.0	188.0	67.53589	20.741945	90.32621	6.5083294	388000	-0.041538052	476.52744	-0.0005285479	-244.06108	0.5751367	6.775326e-05	1977.4694159030914
97	186.55	64.07377	312.0	88.0	186.55	53.531765	20.674307	82.634636	2.1853547	392000	-0.05974468	259.53244	-0.00055369735	-108.54535	0.5790415	0.00018334789	1999.0886709690094
98	234.70589	96.7664	500.0	29.0	234.70589	60.91665	21.287102	85.80096	4.3144264	396000	-0.04263073	218.98524	-0.0005484037	-74.07593	0.57399684	-1.1083755e-05	2019.8815779685974
99	195.3	65.677315	333.0	100.0	195.3	61.849964	22.102577	90.21601	5.661022	400000	-0.040840875	249.09557	-0.00043610856	-78.48193	0.5759418	5.3065953e-05	2044.0238590240479
